model,price,transmission,mileage,fuelType,tax,mpg,engineSize,age
 SL CLASS,18890,Semi-Auto,27001,Diesel,30,70.6,2.1,9
 C Class,27890,Semi-Auto,8317,Diesel,145,61.4,2.0,6
 E Class,24490,Semi-Auto,6762,Diesel,145,67.3,2.0,6
 GLE Class,55690,Automatic,7599,Diesel,145,32.5,3.0,6
 C Class,28990,Automatic,5450,Diesel,145,57.7,2.0,6
 CL Class,16990,Manual,20415,Diesel,145,65.7,2.1,8
 GLA Class,20490,Semi-Auto,33301,Diesel,145,56.5,2.1,8
 A Class,16990,Semi-Auto,32029,Diesel,20,68.9,2.1,9
 E Class,24490,Semi-Auto,7542,Diesel,145,67.3,2.0,6
 B Class,16990,Automatic,11714,Diesel,145,68.9,1.5,7
 C Class,19690,Automatic,13337,Diesel,145,61.4,2.0,6
 E Class,23990,Semi-Auto,13589,Diesel,145,72.4,2.0,6
 GLC Class,28490,Semi-Auto,33485,Diesel,145,56.5,2.1,8
 E Class,31480,Semi-Auto,6283,Diesel,145,57.7,2.0,7
 E Class,31480,Semi-Auto,6310,Diesel,145,57.7,2.0,7
 E Class,30680,Semi-Auto,9848,Diesel,145,57.7,2.0,7
 E Class,24780,Semi-Auto,11784,Diesel,145,72.4,2.0,6
 E Class,29980,Semi-Auto,13708,Diesel,145,58.9,2.0,6
 C Class,19480,Semi-Auto,15096,Diesel,145,61.4,2.0,7
 C Class,24980,Semi-Auto,4737,Petrol,145,45.6,1.5,6
 C Class,24980,Semi-Auto,6894,Petrol,145,45.6,1.5,6
 GLC Class,31480,Semi-Auto,5761,Diesel,145,56.5,2.1,7
 SL CLASS,18990,Semi-Auto,24609,Diesel,30,70.6,2.1,9
 E Class,15490,Semi-Auto,54089,Diesel,125,56.5,2.1,10
 C Class,27990,Semi-Auto,5550,Diesel,145,64.2,2.0,6
 GLA Class,25990,Automatic,2125,Petrol,145,35.8,1.6,6
 A Class,25490,Automatic,6108,Diesel,145,56.5,2.0,6
 B Class,22990,Automatic,1649,Diesel,145,55.4,2.0,6
 GLE Class,48890,Automatic,6170,Diesel,145,32.8,3.0,6
 C Class,16690,Semi-Auto,30199,Diesel,30,64.2,2.1,8
 C Class,22890,Automatic,6037,Petrol,145,46.3,1.5,6
 B Class,22990,Automatic,1125,Diesel,145,55.4,2.0,6
 A Class,12750,Manual,27539,Petrol,125,51.4,1.6,9
 C Class,13290,Semi-Auto,46078,Petrol,125,52.3,2.0,11
 SLK,14990,Semi-Auto,40625,Diesel,150,56.5,2.0,10
 E Class,23000,Semi-Auto,21780,Petrol,240,37.7,3.5,10
 CL Class,19990,Semi-Auto,22299,Diesel,150,67.3,2.1,8
 A Class,12000,Manual,41496,Petrol,150,50.4,1.6,9
 A Class,18890,Semi-Auto,13900,Diesel,150,68.9,2.1,7
 C Class,29950,Semi-Auto,9613,Diesel,150,61.4,2.0,6
 C Class,11750,Semi-Auto,77043,Diesel,20,64.2,2.1,11
 SL CLASS,18490,Semi-Auto,33650,Diesel,30,70.6,2.1,9
 E Class,24966,Automatic,12982,Diesel,145,72.4,2.0,6
 B Class,21856,Automatic,12617,Petrol,145,45.6,1.3,6
 E Class,28866,Automatic,13089,Diesel,145,58.9,2.0,6
 A Class,22926,Semi-Auto,7159,Diesel,145,62.8,1.5,6
 A Class,17096,Automatic,13393,Diesel,145,65.7,1.5,6
 A Class,18844,Automatic,15446,Diesel,145,68.9,1.5,6
 C Class,19056,Automatic,25833,Petrol,145,50.4,2.0,7
 E Class,37286,Automatic,7924,Diesel,145,48.7,3.0,6
 E Class,26026,Automatic,14140,Diesel,145,72.4,2.0,6
 C Class,20672,Semi-Auto,22842,Diesel,30,62.8,2.1,8
 B Class,13952,Manual,14005,Diesel,145,65.7,2.1,8
 A Class,23632,Automatic,9599,Petrol,145,53.3,1.3,6
 A Class,24682,Semi-Auto,3899,Petrol,145,53.3,1.3,6
 E Class,18886,Automatic,26636,Diesel,145,72.4,2.0,8
 B Class,27146,Semi-Auto,9814,Diesel,145,54.3,2.0,6
 S Class,58332,Automatic,2136,Petrol,145,40.9,3.0,7
 GLA Class,21085,Automatic,18607,Diesel,145,56.5,2.1,8
 GLC Class,22792,Semi-Auto,36087,Diesel,125,56.5,2.1,9
 C Class,33612,Automatic,20134,Petrol,145,34.0,3.0,8
 A Class,31112,Semi-Auto,14687,Petrol,145,40.9,2.0,8
 A Class,18780,Semi-Auto,16757,Diesel,145,65.7,1.5,6
 A Class,18780,Semi-Auto,17615,Diesel,145,65.7,1.5,6
 E Class,27980,Semi-Auto,13975,Diesel,145,65.7,2.0,6
 E Class,28500,Semi-Auto,12972,Diesel,145,58.9,2.0,6
 A Class,18780,Semi-Auto,17417,Diesel,145,65.7,1.5,6
 A Class,18780,Semi-Auto,19885,Diesel,145,65.7,1.5,6
 E Class,23480,Semi-Auto,16291,Diesel,145,61.4,2.0,7
 C Class,24980,Automatic,18941,Diesel,145,58.9,2.1,8
 E Class,30480,Semi-Auto,9096,Diesel,145,57.7,2.0,7
 C Class,23980,Automatic,13973,Diesel,145,54.3,2.1,8
 GLA Class,29987,Semi-Auto,3195,Petrol,145,35.8,1.6,5
 B Class,25487,Semi-Auto,3857,Diesel,145,55.4,2.0,5
 A Class,26987,Semi-Auto,2577,Petrol,145,53.3,1.3,5
 A Class,27987,Manual,2369,Petrol,145,44.1,1.3,5
 E Class,36310,Automatic,5412,Diesel,145,70.6,2.0,6
 A Class,25520,Automatic,3269,Petrol,145,47.9,1.3,6
 GLC Class,41630,Automatic,4169,Petrol,145,31.7,2.0,6
 GLC Class,41430,Automatic,4478,Petrol,145,31.7,2.0,6
 GLC Class,45106,Semi-Auto,427,Diesel,145,40.4,2.0,6
 A Class,22056,Semi-Auto,4711,Petrol,145,47.9,1.3,6
 SLK,16280,Manual,29001,Petrol,205,41.5,2.0,10
 E Class,17280,Semi-Auto,44866,Diesel,145,54.3,3.0,10
 C Class,29980,Semi-Auto,8202,Petrol,145,44.1,1.5,6
 C Class,29480,Semi-Auto,13757,Petrol,145,44.1,1.5,6
 C Class,33780,Semi-Auto,1980,Petrol,145,44.1,1.5,6
 C Class,29980,Semi-Auto,2986,Diesel,145,53.3,2.0,6
 C Class,31480,Semi-Auto,2090,Petrol,145,46.3,1.5,6
 B Class,23480,Semi-Auto,1992,Diesel,145,55.4,2.0,6
 C Class,31980,Semi-Auto,3162,Petrol,145,46.3,1.5,6
 C Class,30500,Semi-Auto,4010,Diesel,145,61.4,2.0,6
 A Class,14038,Manual,27511,Diesel,20,72.4,1.5,9
 C Class,16991,Semi-Auto,41603,Diesel,30,64.2,2.1,8
 E Class,18872,Semi-Auto,15758,Diesel,125,58.9,2.1,9
 A Class,23314,Semi-Auto,14634,Petrol,145,53.3,1.3,6
 GLA Class,19642,Semi-Auto,30545,Diesel,125,56.6,2.1,8
 GLC Class,27500,Semi-Auto,18283,Diesel,125,56.5,2.1,9
 C Class,19990,Semi-Auto,37000,Hybrid,0,74.3,2.1,10
 E Class,12995,Semi-Auto,62056,Hybrid,10,67.3,2.1,11
 GLC Class,26995,Semi-Auto,24205,Diesel,145,56.5,2.1,8
 E Class,18500,Semi-Auto,23129,Diesel,150,56.5,2.1,9
 C Class,11750,Semi-Auto,77043,Diesel,20,64.2,2.1,11
 M Class,14250,Semi-Auto,84413,Diesel,205,44.8,2.1,12
 A Class,12000,Manual,41497,Petrol,150,50.4,1.6,9
 A Class,24987,Manual,2841,Petrol,145,47.1,1.3,6
 GLA Class,28987,Automatic,1566,Petrol,145,35.8,1.6,6
 GLC Class,42987,Automatic,2799,Diesel,145,40.9,2.0,6
 GLC Class,42987,Automatic,3590,Diesel,145,40.9,2.0,6
 GLC Class,38987,Automatic,3911,Diesel,145,43.5,2.0,6
 V Class,41730,Automatic,2582,Diesel,145,45.6,2.2,6
 E Class,24912,Semi-Auto,9661,Diesel,30,65.7,2.0,8
 GLC Class,35822,Semi-Auto,14177,Petrol,300,34.0,3.0,8
 GLC Class,34987,Semi-Auto,2729,Petrol,145,34.0,2.0,5
 A Class,24987,Manual,3525,Petrol,145,47.1,1.3,5
 CL Class,14472,Semi-Auto,57112,Diesel,20,68.9,2.1,9
 A Class,24124,Semi-Auto,1637,Petrol,145,47.9,1.3,6
 GLA Class,23950,Semi-Auto,6000,Petrol,145,37.2,1.6,6
 GLA Class,28987,Semi-Auto,3225,Petrol,145,35.8,1.6,6
 A Class,24094,Semi-Auto,5889,Petrol,145,53.3,1.3,6
 CL Class,17245,Automatic,17448,Diesel,145,68.9,2.1,8
 GLS Class,41962,Semi-Auto,22219,Diesel,145,37.2,3.0,8
 C Class,21500,Semi-Auto,9238,Petrol,150,48.7,2.0,8
 E Class,19500,Semi-Auto,37509,Diesel,30,61.4,2.0,8
 E Class,28452,Semi-Auto,33,Diesel,145,65.7,2.0,6
 E Class,18791,Semi-Auto,52232,Diesel,20,67.3,2.0,8
 B Class,27300,Semi-Auto,5860,Petrol,145,37.7,2.0,6
 A Class,24172,Semi-Auto,9999,Petrol,145,53.3,1.3,6
 A Class,14552,Semi-Auto,25653,Diesel,0,76.4,1.5,9
 V Class,39900,Semi-Auto,5988,Diesel,145,44.8,2.2,7
 A Class,15012,Semi-Auto,20339,Diesel,20,74.3,1.5,9
 C Class,33842,Semi-Auto,3950,Petrol,145,42.2,2.0,6
 CLS Class,46710,Automatic,4133,Diesel,145,47.9,2.9,6
 GLC Class,54282,Automatic,2556,Petrol,145,27.4,4.0,6
 E Class,32670,Semi-Auto,5820,Diesel,145,70.6,2.0,6
 B Class,21980,Semi-Auto,9318,Petrol,145,45.6,1.3,6
 GLC Class,31980,Semi-Auto,5604,Petrol,145,34.0,2.0,6
 A Class,19410,Manual,129,Petrol,145,47.1,1.3,6
 GLC Class,37982,Semi-Auto,11386,Petrol,145,34.0,3.0,8
 C Class,34987,Automatic,2791,Diesel,145,64.2,2.0,6
 GLC Class,43987,Automatic,1766,Petrol,145,31.7,2.0,6
 C Class,44987,Automatic,1843,Petrol,145,30.4,3.0,6
 A Class,23987,Automatic,3855,Petrol,145,28.5,1.3,6
 E Class,38487,Automatic,3155,Diesel,145,45.6,2.0,6
 B Class,21980,Semi-Auto,7744,Petrol,145,45.6,1.3,6
 GLC Class,29480,Semi-Auto,21275,Diesel,145,56.5,2.1,7
 C Class,25780,Semi-Auto,14843,Diesel,145,61.4,2.0,6
 E Class,34980,Semi-Auto,3613,Diesel,145,57.7,2.0,6
 S Class,44980,Semi-Auto,11735,Diesel,145,52.3,3.0,6
 A Class,20480,Semi-Auto,10371,Diesel,145,65.7,1.5,6
 C Class,29500,Semi-Auto,6922,Petrol,145,44.1,2.0,6
 CL Class,25980,Semi-Auto,14477,Diesel,145,51.4,2.2,6
 C Class,23980,Semi-Auto,13864,Diesel,145,61.4,2.0,6
 E Class,31480,Semi-Auto,6137,Diesel,145,57.7,2.0,7
 E Class,20480,Semi-Auto,29131,Diesel,160,50.4,3.0,9
 GLE Class,35980,Semi-Auto,39056,Diesel,300,39.2,3.0,9
 C Class,34380,Semi-Auto,15554,Petrol,260,35.3,3.0,9
 GLE Class,25000,Semi-Auto,38759,Diesel,200,47.9,2.1,9
 V Class,36980,Semi-Auto,2924,Diesel,145,44.8,2.2,6
 E Class,36980,Semi-Auto,13095,Petrol,145,33.6,3.0,8
 C Class,25280,Automatic,4944,Diesel,145,58.9,2.1,7
 C Class,30000,Semi-Auto,9062,Diesel,145,57.7,2.0,6
 E Class,32980,Semi-Auto,4998,Diesel,145,57.7,2.0,6
 C Class,29980,Semi-Auto,3049,Diesel,145,61.4,2.0,6
 C Class,29980,Semi-Auto,1568,Diesel,145,60.1,1.6,6
 C Class,34480,Semi-Auto,3446,Petrol,145,46.3,1.5,6
 V Class,45480,Semi-Auto,236,Diesel,145,36.2,2.0,6
 V Class,39897,Semi-Auto,5927,Diesel,145,44.8,2.2,6
 GLC Class,24480,Semi-Auto,41490,Diesel,125,56.5,2.1,9
 SL CLASS,29500,Semi-Auto,2986,Petrol,150,47.1,2.0,6
 GLE Class,35002,Semi-Auto,22306,Diesel,150,37.7,3.0,7
 C Class,30480,Semi-Auto,4688,Diesel,145,61.4,2.0,6
 E Class,33480,Automatic,7800,Diesel,145,45.6,2.0,6
 C Class,33480,Semi-Auto,2330,Diesel,145,57.7,2.0,6
 B Class,23980,Semi-Auto,2154,Diesel,145,55.4,2.0,6
 C Class,29980,Semi-Auto,2190,Diesel,145,53.3,2.0,6
 C Class,29980,Semi-Auto,2143,Diesel,145,54.3,1.6,6
 C Class,21480,Manual,2332,Petrol,145,47.1,1.6,6
 C Class,31980,Semi-Auto,1854,Petrol,145,46.3,1.5,6
 GLB Class,40480,Semi-Auto,29,Diesel,145,44.8,2.0,5
 GLC Class,37980,Semi-Auto,2138,Diesel,145,40.9,2.0,6
 C Class,30980,Semi-Auto,1995,Diesel,145,64.2,2.0,6
 GLC Class,37480,Semi-Auto,4967,Diesel,145,40.9,2.0,6
 C Class,25000,Automatic,9507,Petrol,145,47.1,2.0,8
 CL Class,19000,Semi-Auto,29296,Diesel,20,67.3,2.1,9
 C Class,21500,Semi-Auto,37188,Diesel,20,67.3,2.1,9
 CL Class,17490,Manual,19190,Petrol,145,51.4,1.6,8
 GLC Class,49980,Semi-Auto,3999,Petrol,145,26.4,3.0,5
 GLC Class,35980,Semi-Auto,3999,Diesel,145,44.8,2.0,5
 GLC Class,35980,Semi-Auto,3999,Diesel,145,43.5,2.0,5
 GLA Class,20980,Semi-Auto,20484,Diesel,125,56.5,2.1,8
 CLS Class,20480,Semi-Auto,45870,Diesel,125,57.7,2.1,8
 GLC Class,40980,Semi-Auto,19,Diesel,145,40.9,2.0,5
 C Class,24980,Semi-Auto,7043,Petrol,145,45.6,1.5,6
 GLA Class,22800,Semi-Auto,13734,Diesel,145,67.3,2.1,6
 C Class,28180,Automatic,5477,Diesel,145,58.9,2.1,6
 C Class,23680,Semi-Auto,3436,Petrol,145,44.1,1.5,6
 E Class,23500,Semi-Auto,11108,Diesel,145,61.4,2.0,7
 C Class,44480,Semi-Auto,9103,Petrol,145,29.1,3.0,6
 E Class,25780,Semi-Auto,11205,Diesel,145,72.4,2.0,6
 GLA Class,23480,Semi-Auto,12989,Diesel,145,67.3,2.1,6
 GLA Class,23780,Semi-Auto,12580,Diesel,145,67.3,2.1,6
 E Class,27980,Semi-Auto,7514,Diesel,145,65.7,2.0,7
 E Class,24780,Semi-Auto,10250,Diesel,145,72.4,2.0,6
 A Class,11680,Semi-Auto,55067,Diesel,20,68.9,1.5,10
 GLC Class,25980,Semi-Auto,30404,Diesel,125,56.5,2.1,9
 B Class,21980,Semi-Auto,7332,Petrol,145,45.6,1.3,6
 GLC Class,49980,Semi-Auto,4608,Petrol,145,27.4,3.0,6
 E Class,21980,Semi-Auto,49477,Diesel,145,54.3,3.0,9
 GLA Class,26980,Semi-Auto,1998,Petrol,145,35.8,1.6,6
 A Class,20380,Semi-Auto,12326,Diesel,145,65.7,1.5,6
 GLC Class,43995,Semi-Auto,859,Petrol,145,32.1,2.0,5
 A Class,12995,Semi-Auto,35000,Diesel,30,65.7,1.8,11
 A Class,22940,Automatic,4040,Diesel,145,62.8,1.5,6
 E Class,32640,Automatic,5615,Diesel,145,45.6,2.0,6
 E Class,20940,Semi-Auto,17227,Diesel,20,72.4,2.0,8
 S Class,31041,Semi-Auto,21739,Diesel,205,47.9,3.0,9
 A Class,14600,Manual,27450,Diesel,20,72.4,1.5,9
 GLA Class,16500,Manual,31679,Diesel,145,67.3,2.1,8
 GLA Class,15200,Manual,66691,Diesel,20,67.3,2.1,8
 CLS Class,20449,Semi-Auto,31684,Diesel,160,51.4,3.0,9
 A Class,21656,Automatic,2980,Diesel,145,65.7,1.5,6
 GLA Class,25950,Automatic,4999,Petrol,145,35.8,1.6,6
 GLA Class,21497,Automatic,4999,Petrol,145,44.8,1.6,6
 C Class,31740,Automatic,4999,Diesel,145,51.4,2.0,6
 C Class,30450,Automatic,4999,Diesel,145,64.2,2.0,6
 V Class,47950,Automatic,2550,Diesel,145,36.7,2.0,6
 E Class,32240,Automatic,6240,Diesel,145,42.8,2.0,6
 C Class,32540,Automatic,2960,Diesel,145,55.4,2.0,6
 E Class,30640,Semi-Auto,11264,Diesel,145,70.6,2.0,6
 C Class,26140,Semi-Auto,11674,Diesel,145,64.2,2.0,6
 A Class,26480,Semi-Auto,1129,Diesel,145,56.5,2.0,6
 GLC Class,74980,Semi-Auto,1998,Petrol,145,21.6,4.0,6
 C Class,30980,Semi-Auto,1250,Diesel,145,61.4,2.0,6
 C Class,28480,Semi-Auto,3748,Petrol,145,44.1,1.5,7
 E Class,38480,Semi-Auto,723,Diesel,145,57.7,2.0,6
 GLA Class,18980,Semi-Auto,28231,Diesel,125,56.5,2.1,9
 C Class,20480,Semi-Auto,14568,Petrol,145,46.3,1.5,6
 E Class,24040,Automatic,10310,Diesel,145,72.4,2.0,7
 V Class,37000,Semi-Auto,15612,Diesel,235,44.8,2.2,8
 C Class,17440,Automatic,25374,Diesel,30,64.2,2.1,9
 E Class,34740,Automatic,4999,Diesel,145,42.8,2.0,6
 CL Class,28450,Automatic,4999,Petrol,145,44.1,1.3,6
 C Class,30240,Automatic,4999,Diesel,145,61.4,2.0,6
 C Class,28150,Automatic,1999,Petrol,145,46.3,1.5,6
 E Class,34740,Automatic,4999,Diesel,145,45.6,2.0,6
 GLC Class,40531,Automatic,4999,Diesel,145,40.9,2.0,6
 C Class,32940,Automatic,4999,Petrol,145,44.1,1.5,6
 C Class,27280,Semi-Auto,7268,Petrol,145,46.3,1.5,6
 E Class,27980,Semi-Auto,13924,Diesel,145,65.7,2.0,6
 C Class,27980,Semi-Auto,10982,Petrol,145,44.1,1.5,6
 C Class,26980,Semi-Auto,15275,Petrol,145,44.1,2.0,6
 B Class,27480,Semi-Auto,5308,Diesel,145,54.3,2.0,6
 C Class,16680,Semi-Auto,45588,Diesel,20,64.2,2.1,9
 SLK,18980,Semi-Auto,8417,Diesel,30,70.6,2.0,9
 C Class,26995,Semi-Auto,11980,Diesel,145,56.5,2.0,6
 C Class,27950,Semi-Auto,10179,Diesel,145,54.3,2.0,7
 C Class,27250,Semi-Auto,10871,Diesel,145,56.5,2.0,6
 C Class,23500,Semi-Auto,10240,Diesel,145,61.4,2.1,7
 CLS Class,36000,Semi-Auto,2352,Diesel,145,48.7,2.9,6
 A Class,77500,Semi-Auto,3600,Petrol,145,30.1,4.0,7
 GLC Class,39750,Semi-Auto,5313,Petrol,145,34.0,3.0,6
 E Class,24750,Semi-Auto,15713,Diesel,145,65.7,2.0,8
 E Class,42995,Semi-Auto,4350,Diesel,145,47.1,3.0,6
 GLE Class,33750,Semi-Auto,44870,Diesel,300,39.2,3.0,9
 A Class,24995,Automatic,7750,Diesel,145,56.5,2.0,6
 C Class,24640,Automatic,11900,Petrol,145,47.1,1.5,6
 C Class,30840,Semi-Auto,7532,Petrol,145,42.2,2.0,6
 C Class,21340,Automatic,12836,Petrol,145,44.1,1.5,6
 C Class,24940,Semi-Auto,15275,Petrol,145,45.6,1.5,6
 C Class,21940,Automatic,5149,Petrol,145,44.1,1.5,6
 C Class,28940,Automatic,37,Petrol,145,44.1,2.0,6
 C Class,26940,Automatic,4600,Diesel,145,61.4,2.0,6
 GLC Class,31640,Semi-Auto,9624,Diesel,145,41.5,2.1,6
 C Class,26440,Semi-Auto,16684,Diesel,145,60.1,1.6,6
 A Class,12233,Semi-Auto,40246,Diesel,20,68.9,1.5,10
 E Class,19940,Semi-Auto,28471,Diesel,20,67.3,2.0,8
 E Class,20240,Semi-Auto,17793,Diesel,20,72.4,2.0,8
 C Class,19240,Semi-Auto,33022,Diesel,30,64.2,2.1,8
 C Class,30740,Semi-Auto,7926,Diesel,145,57.7,2.0,6
 C Class,24640,Semi-Auto,14751,Diesel,145,61.4,2.0,6
 A Class,21995,Semi-Auto,12236,Petrol,150,53.3,1.3,7
 C Class,19995,Semi-Auto,19870,Petrol,150,41.5,2.0,7
 S Class,28980,Semi-Auto,46000,Diesel,160,50.4,3.0,9
 GLE Class,48480,Semi-Auto,4050,Diesel,145,36.7,2.0,6
 C Class,22980,Semi-Auto,11827,Diesel,145,60.1,2.1,7
 C Class,39000,Semi-Auto,2857,Petrol,145,30.4,3.0,6
 A Class,24780,Manual,9,Petrol,145,28.5,1.3,5
 GLA Class,22980,Semi-Auto,1989,Petrol,145,44.8,1.6,5
 C Class,25440,Semi-Auto,8763,Diesel,145,61.4,2.0,6
 C Class,23740,Semi-Auto,13046,Diesel,145,61.4,2.0,6
 CLS Class,46995,Semi-Auto,2619,Petrol,145,31.4,2.0,6
 E Class,46402,Semi-Auto,197,Petrol,145,32.9,2.0,5
 C Class,54000,Semi-Auto,250,Petrol,145,29.1,3.0,5
 B Class,14500,Semi-Auto,30202,Diesel,20,68.9,2.1,9
 C Class,25080,Semi-Auto,3131,Petrol,145,42.2,1.5,6
 E Class,22380,Semi-Auto,16012,Diesel,145,61.4,2.0,8
 CL Class,13991,Automatic,48646,Diesel,30,62.8,2.1,11
 C Class,12600,Automatic,52379,Petrol,125,52.3,2.0,11
 A Class,17295,Automatic,16813,Diesel,145,68.9,2.1,8
 A Class,10999,Manual,55312,Diesel,125,61.4,1.8,12
 GLA Class,15600,Semi-Auto,41952,Diesel,145,55.4,2.1,11
 C Class,25500,Semi-Auto,10592,Diesel,145,67.3,2.1,7
 GLA Class,25495,Semi-Auto,6801,Petrol,150,48.7,1.6,6
 C Class,18495,Semi-Auto,18758,Petrol,150,50.4,2.0,8
 A Class,105000,Semi-Auto,6807,Petrol,150,22.6,4.0,6
 B Class,24987,Automatic,7676,Diesel,145,55.4,2.0,6
 A Class,36987,Automatic,4399,Petrol,145,36.7,2.0,6
 E Class,43987,Automatic,3117,Diesel,145,57.7,2.0,6
 GLA Class,20662,Automatic,32722,Diesel,145,56.5,2.1,8
 B Class,22490,Manual,169,Petrol,145,44.8,1.3,6
 B Class,22990,Manual,169,Petrol,145,44.8,1.3,6
 B Class,22990,Manual,169,Petrol,145,44.8,1.3,6
 B Class,22990,Manual,169,Petrol,145,44.8,1.3,6
 C Class,14732,Semi-Auto,38824,Diesel,20,64.2,2.1,11
 A Class,15500,Manual,23542,Diesel,20,70.6,1.5,10
 GLC Class,29000,Semi-Auto,12495,Petrol,145,43.5,2.0,6
 B Class,14500,Manual,26728,Petrol,145,49.6,1.6,9
 C Class,25750,Semi-Auto,6983,Diesel,145,60.1,2.1,7
 SL CLASS,30000,Semi-Auto,9266,Petrol,145,47.1,2.0,6
 C Class,19750,Semi-Auto,13695,Diesel,145,61.4,2.0,6
 GLE Class,48980,Semi-Auto,4056,Diesel,145,36.7,2.0,6
 A Class,24780,Semi-Auto,2343,Diesel,145,56.5,2.0,6
 B Class,14500,Manual,11840,Diesel,145,68.9,1.5,8
 E Class,30380,Semi-Auto,13947,Petrol,145,40.4,2.0,7
 E Class,30680,Semi-Auto,6108,Diesel,145,57.7,2.0,7
 E Class,32980,Semi-Auto,5164,Diesel,145,57.7,2.0,6
 E Class,20380,Semi-Auto,27836,Diesel,20,67.3,2.0,9
 A Class,33980,Semi-Auto,3999,Petrol,145,36.7,2.0,5
 A Class,26487,Automatic,3256,Petrol,145,53.3,1.3,6
 A Class,25344,Semi-Auto,51,Petrol,150,28.5,1.3,5
 A Class,15950,Manual,20013,Petrol,145,51.4,1.6,8
 GLC Class,27995,Semi-Auto,6563,Diesel,145,41.5,2.1,6
 A Class,10932,Manual,38510,Diesel,0,78.5,1.5,11
 C Class,24502,Semi-Auto,22079,Diesel,145,67.3,2.1,8
 CLS Class,22490,Semi-Auto,24086,Diesel,160,51.4,3.0,9
 C Class,14490,Semi-Auto,58502,Diesel,20,64.2,2.1,10
 C Class,18490,Semi-Auto,25584,Petrol,145,50.4,2.0,8
 E Class,39700,Automatic,11286,Diesel,145,44.8,2.0,6
 A Class,11772,Manual,47320,Diesel,20,70.6,1.5,10
 GLE Class,45390,Automatic,3654,Diesel,145,36.7,2.0,6
 A Class,28991,Semi-Auto,1585,Petrol,145,28.5,2.0,5
 GLA Class,29991,Semi-Auto,2011,Petrol,145,35.8,1.6,5
 GLA Class,30991,Semi-Auto,306,Petrol,145,35.8,1.6,5
 GLA Class,29991,Semi-Auto,1786,Petrol,145,35.8,1.6,5
 A Class,24991,Manual,161,Petrol,145,44.8,1.3,5
 GLC Class,41991,Semi-Auto,3885,Petrol,145,31.7,2.0,5
 C Class,35491,Semi-Auto,2669,Diesel,145,48.7,2.0,5
 C Class,18700,Semi-Auto,25340,Diesel,145,60.1,2.1,7
 C Class,14307,Manual,25820,Petrol,125,53.3,2.0,8
 E Class,19740,Automatic,21430,Diesel,160,52.3,3.0,9
 C Class,18900,Automatic,23570,Diesel,145,61.4,2.1,7
 C Class,16800,Semi-Auto,35800,Diesel,30,64.2,2.1,9
 GLC Class,20510,Semi-Auto,29340,Diesel,125,56.5,2.1,9
 E Class,12340,Semi-Auto,54040,Diesel,125,60.1,2.1,10
 CL Class,19660,Semi-Auto,7960,Petrol,150,52.3,1.6,7
 CL Class,16900,Semi-Auto,51320,Diesel,125,58.9,2.1,9
 C Class,39995,Semi-Auto,3560,Petrol,145,29.4,3.0,6
 GLB Class,39950,Semi-Auto,637,Diesel,145,44.8,2.0,5
 C Class,29750,Automatic,3000,Diesel,145,57.7,2.0,5
 GLC Class,38995,Semi-Auto,4200,Diesel,145,40.9,2.0,5
 GLC Class,38995,Semi-Auto,2400,Diesel,145,40.9,2.0,5
 E Class,24995,Semi-Auto,12710,Diesel,145,54.3,3.0,9
 S Class,56995,Semi-Auto,19953,Petrol,555,28.0,5.5,9
 C Class,24495,Semi-Auto,15674,Diesel,145,60.1,1.6,6
 CL Class,22000,Semi-Auto,20358,Diesel,145,51.4,2.2,6
 A Class,11750,Manual,40183,Diesel,20,70.6,1.5,11
 E Class,39995,Semi-Auto,2103,Diesel,145,38.2,3.0,5
 C Class,26450,Semi-Auto,8439,Diesel,145,60.1,1.6,6
 GLA Class,21995,Semi-Auto,22129,Diesel,145,56.5,2.1,8
 E Class,36995,Semi-Auto,9325,Diesel,145,46.3,3.0,6
 E Class,26000,Semi-Auto,6248,Diesel,145,67.3,2.0,6
 A Class,22995,Semi-Auto,7009,Petrol,145,53.3,1.3,7
 C Class,32500,Semi-Auto,6877,Petrol,145,42.2,2.0,6
 C Class,20491,Semi-Auto,27993,Diesel,30,61.4,2.1,8
 C Class,16341,Semi-Auto,61691,Diesel,20,64.2,2.1,10
 A Class,22031,Semi-Auto,13842,Petrol,145,53.3,1.3,7
 CL Class,25984,Semi-Auto,12993,Diesel,145,51.4,2.2,6
 A Class,16571,Manual,20289,Diesel,150,72.4,1.5,7
 GLC Class,29221,Semi-Auto,20296,Diesel,150,56.5,2.1,9
 CL Class,16690,Manual,34510,Petrol,125,51.4,1.6,8
 E Class,18280,Semi-Auto,40184,Diesel,30,65.7,2.0,9
 C Class,13600,Manual,46384,Petrol,125,53.3,2.0,9
 GLA Class,15500,Semi-Auto,21729,Diesel,30,62.8,2.1,11
 A Class,17200,Semi-Auto,48709,Diesel,20,74.3,1.5,8
 GLA Class,16500,Manual,36053,Diesel,30,64.2,2.1,9
 E Class,21500,Automatic,27459,Diesel,145,72.4,2.0,7
 GLC Class,28000,Semi-Auto,20188,Diesel,150,56.5,2.1,7
 E Class,24480,Semi-Auto,11996,Diesel,145,72.4,2.0,6
 C Class,10090,Semi-Auto,57843,Diesel,150,53.3,2.1,10
 E Class,21182,Semi-Auto,29200,Diesel,145,65.7,2.0,8
 C Class,30976,Automatic,5552,Petrol,145,44.1,2.0,6
 CLS Class,45636,Automatic,2817,Diesel,145,47.9,2.9,6
 E Class,25196,Automatic,14764,Diesel,145,72.4,2.0,6
